*1000Hz	-41.4
	
20.00	1.1
20.55	1.1
21.11	1.1
21.69	1.1
22.29	1.0
22.90	1.0
23.53	0.9
24.18	0.9
24.84	0.8
25.52	0.7
26.22	0.6
26.94	0.6
27.68	0.5
28.44	0.5
29.22	0.4
30.03	0.4
30.85	0.5
31.70	0.5
32.57	0.5
33.46	0.6
34.38	0.6
35.33	0.6
36.30	0.7
37.29	0.7
38.32	0.8
39.37	0.8
40.45	0.9
41.56	1.0
42.70	1.1
43.87	1.2
45.08	1.3
46.32	1.3
47.59	1.4
48.90	1.4
50.24	1.5
51.62	1.4
53.03	1.4
54.49	1.3
55.99	1.3
57.52	1.2
59.10	1.1
60.73	1.0
62.39	1.0
64.11	1.0
65.87	1.0
67.68	1.0
69.54	1.1
71.44	1.1
73.41	1.1
75.42	1.0
77.49	1.0
79.62	1.0
81.81	0.9
84.05	0.9
86.36	0.8
88.73	0.8
91.17	0.8
93.67	0.8
96.25	0.9
98.89	0.9
101.60	0.9
104.39	0.8
107.26	0.9
110.21	0.9
113.23	1.0
116.34	1.0
119.54	1.0
122.82	1.0
126.19	1.0
129.66	1.0
133.22	0.9
136.87	0.9
140.63	1.0
144.50	1.1
148.46	1.2
152.54	1.3
156.73	1.2
161.03	1.1
165.45	1.0
170.00	0.9
174.67	0.9
179.46	0.8
184.39	0.8
189.45	0.8
194.65	0.8
200.00	0.8
205.49	0.8
211.13	0.7
216.93	0.6
222.89	0.5
229.01	0.5
235.30	0.4
241.76	0.4
248.40	0.4
255.22	0.4
262.23	0.4
269.43	0.3
276.83	0.3
284.43	0.2
292.24	0.2
300.26	0.3
308.51	0.4
316.98	0.3
325.68	0.3
334.63	0.3
343.81	0.5
353.26	0.5
362.96	0.5
372.92	0.5
383.16	0.7
393.68	0.7
404.49	0.8
415.60	0.9
427.01	1.0
438.74	1.0
450.79	1.0
463.17	0.9
475.88	0.8
488.95	0.7
502.38	0.5
516.17	0.7
530.35	0.7
544.91	0.7
559.87	0.6
575.25	0.6
591.04	0.6
607.27	0.6
623.95	0.6
641.08	0.5
658.68	0.4
676.77	0.4
695.35	0.5
714.45	0.6
734.07	0.8
754.22	0.9
774.94	1.1
796.21	1.1
818.08	1.0
840.54	0.9
863.62	0.7
887.34	0.6
911.70	0.4
936.74	0.3
962.46	0.2
988.89	0.1
1016.04	0.0
1043.94	0.0
1072.61	0.0
1102.06	0.1
1132.33	0.2
1163.42	0.3
1195.37	0.4
1228.19	0.4
1261.91	0.4
1296.57	0.2
1332.17	-0.2
1368.75	-0.4
1406.34	-0.5
1444.95	-0.6
1484.63	-0.6
1525.40	-0.7
1567.28	-0.8
1610.32	-0.9
1654.54	-1.0
1699.97	-1.1
1746.65	-1.1
1794.61	-0.9
1843.89	-0.7
1894.53	-0.7
1946.55	-0.9
2000.00	-0.9
2054.92	-1.0
2111.35	-0.9
2169.32	-0.4
2228.89	0.0
2290.10	0.2
2352.98	0.2
2417.59	0.1
2483.98	0.2
2552.19	0.2
2622.27	0.3
2694.27	0.5
2768.26	0.7
2844.27	0.7
2922.37	0.9
3002.62	1.0
3085.07	1.1
3169.79	1.1
3256.83	1.1
3346.26	1.8
3438.14	2.9
3532.55	3.5
3629.56	3.5
3729.22	2.7
3831.62	1.7
3936.84	0.3
4044.94	-0.6
4156.01	-1.3
4270.14	-1.1
4387.39	-0.8
4507.87	0.1
4631.65	1.0
4758.83	0.9
4889.51	0.5
5023.77	0.5
5161.72	0.7
5303.46	1.0
5449.09	0.5
5598.72	-0.2
5752.46	-0.7
5910.42	-0.2
6072.72	0.6
6239.47	1.4
6410.80	1.5
6586.84	1.4
6767.71	1.1
6953.55	0.6
7144.49	1.1
7340.67	1.8
7542.24	2.8
7749.35	3.5
7962.14	3.4
8180.78	2.8
8405.42	2.6
8636.23	1.8
8873.37	1.4
9117.03	1.3
9367.38	2.5
9624.61	3.9
9888.89	3.4
10160.44	3.2
10439.44	3.0
10726.10	2.6
11020.63	1.6
11323.25	1.3
11634.18	2.3
11953.65	3.3
12281.89	3.4
12619.15	2.8
12965.66	2.3
13321.69	3.0
13687.50	2.5
14063.35	2.2
14449.52	2.2
14846.30	2.3
15253.97	2.4
15672.84	1.9
16103.21	0.6
16545.39	1.1
16999.72	2.1
17466.52	2.3
17946.14	1.0
18438.94	0.9
18945.26	2.3
19465.49	3.3
20000.00	4.1
